id,name,sort_name,institution,country,region,research_area_1,research_area_2,keywords,website,website_2,career_stage,roster,notes,source
howlett-barbara,"Howlett, Barbara","howlett, barbara",University of Melbourne,AU,Australia/NZ,Plant Pathology,Genetics/Genomics,secondary metabolism; endophytes,http://www.findanexpert.unimelb.edu.au/display/person15961,,Emeritus,faculty,,wrifo-workbook; airtable
hoyer-katrina,"Hoyer, Katrina","hoyer, katrina",University of California Merced,US,North America,Immunology,Medical Mycology,Coccidioides; Animal Models; immunity therapies,https://www.ucmerced.edu/content/katrina-k-hoyer,,Intermediate,faculty,,wrifo-workbook; airtable
hsueh-yen-ping,"Hsueh, Yen-Ping","hsueh, yen-ping",Academia Sinica,TW,Asia,Genetics/Genomics,,Nematode Fungi interactions; Genomics,http://www.imb.sinica.edu.tw/en/research/faculty/yenping.html,,Junior,faculty,,wrifo-workbook; airtable
huberman-lori,"Huberman, Lori","huberman, lori",Cornell University,US,North America,Genetics/Genomics,Cell biology,Genetics; Neurospora; Genomic Tools,http://blogs.cornell.edu/huberman/people/,,Junior,faculty,,wrifo-workbook; airtable
hull-christina,"Hull, Christina","hull, christina",Univ Wisconsin,US,North America,Medical Mycology,Genetics/Genomics,Med Micro; Cryptococcus,http://bmolchem.wisc.edu/hull.htm,,Intermediate,faculty,,wrifo-workbook; airtable
hurley-jennifer,"Hurley, Jennifer","hurley, jennifer",Rensselaer Polytechnic Institute,US,North America,Genetics/Genomics,,Circadian Rythmns; Proteomics; Neurospora,http://homepages.rpi.edu/~hurlej2/,,Junior,faculty,,wrifo-workbook; airtable
hynson-nicole,"Hynson, Nicole","hynson, nicole","Univ. Hawaii, Manoa",US,North America,Ecology,Evolution,Community Ecology of Fungi,http://www2.hawaii.edu/~nhynson/Hynson_Lab/Welcome.html,,Intermediate,faculty,,wrifo-workbook; airtable
isabel-munck,Isabel Munck,isabel munck,USDA Forest Service,US,North America,Plant Pathology,Ecology,Forest pathology. forest health; forest management,https://www.researchgate.net/profile/Isabel_Munck,,Intermediate,faculty,,wrifo-workbook; airtable
jacobsen-ilse,"Jacobsen, Ilse","jacobsen, ilse","HKI, Leibniz",DE,Europe,Immunology,Medical Mycology,Animal models; mucosal-pathogen interaciton,https://www.leibniz-hki.de/en/institut-staff-details.html?member=85,,Intermediate,faculty,,wrifo-workbook; airtable
janevska-slavica,"Janevska, Slavica","janevska, slavica",Leibniz-HKI,DE,Europe,,,,,,,faculty,,wrifo-workbook
jargeat-patricia,"Jargeat, Patricia","jargeat, patricia",Paul Sabatier University,FR,Europe,Cell biology,Genetics/Genomics,Plant-fungal interactions; Taxonomy; Phylogenetics,https://edb.cnrs.fr/annuaire/patricia-jargeat/,,Senior,faculty,,wrifo-workbook; airtable
jimenez-gasco-maria-del-mar,"Jimenez Gasco, Maria Del Mar","jimenez gasco, maria del mar",Penn State University,US,North America,Plant Pathology,,Fusarium and Verticillium wilts,http://plantpath.psu.edu/directory/mxj22,,Intermediate,faculty,,wrifo-workbook; airtable
jin-hailing,"Jin, Hailing","jin, hailing","Univ California, Riverside",US,North America,Plant Pathology,Genetics/Genomics,Plant-Microbe Interactions; RNAi; microRNA; small RNA; Botrytis,http://cepceb.ucr.edu/people/jin.html,,Senior,faculty,,wrifo-workbook; airtable
